auction_id,stage,clearing_target,licensed_spectrum,round,start_time,end_time,base_clock_price,price_decrement_r1,price_decrement_r2,pw_compensation
1001,1,126,100,1,2016-05-31 10:00:00,2016-05-31 16:00:00,855.0,5,1,""
1001,1,126,100,2,2016-06-01 10:00:00,2016-06-01 14:00:00,812.25,5,1,""
1001,1,126,100,3,2016-06-02 10:00:00,2016-06-02 12:00:00,771.6375,5,1,""
1001,1,126,100,4,2016-06-02 15:00:00,2016-06-02 17:00:00,733.0556250000001,5,1,""
1001,1,126,100,5,2016-06-03 10:00:00,2016-06-03 12:00:00,696.4028437500001,5,1,""
1001,1,126,100,6,2016-06-03 15:00:00,2016-06-03 17:00:00,661.5827015625001,5,1,""
1001,1,126,100,7,2016-06-06 10:00:00,2016-06-06 12:00:00,628.5035664843751,5,1,""
1001,1,126,100,8,2016-06-06 15:00:00,2016-06-06 17:00:00,597.0783881601564,5,1,""
1001,1,126,100,9,2016-06-07 10:00:00,2016-06-07 12:00:00,567.2244687521485,5,1,""
1001,1,126,100,10,2016-06-07 15:00:00,2016-06-07 17:00:00,538.863245314541,5,1,""
1001,1,126,100,11,2016-06-08 10:00:00,2016-06-08 12:00:00,511.920083048814,5,1,""
1001,1,126,100,12,2016-06-08 15:00:00,2016-06-08 17:00:00,486.3240788963733,5,1,""
1001,1,126,100,13,2016-06-09 10:00:00,2016-06-09 12:00:00,462.00787495155464,5,1,""
1001,1,126,100,14,2016-06-09 15:00:00,2016-06-09 17:00:00,438.9074812039769,5,1,""
1001,1,126,100,15,2016-06-10 10:00:00,2016-06-10 12:00:00,416.96210714377804,5,1,""
1001,1,126,100,16,2016-06-10 15:00:00,2016-06-10 17:00:00,396.11400178658914,5,1,""
1001,1,126,100,17,2016-06-13 10:00:00,2016-06-13 11:00:00,376.3083016972597,5,1,""
1001,1,126,100,18,2016-06-13 13:00:00,2016-06-13 14:00:00,357.4928866123967,5,1,""
1001,1,126,100,19,2016-06-13 16:00:00,2016-06-13 17:00:00,339.6182422817769,5,1,""
1001,1,126,100,20,2016-06-14 10:00:00,2016-06-14 11:00:00,322.63733016768805,5,1,""
1001,1,126,100,21,2016-06-14 13:00:00,2016-06-14 14:00:00,306.50546365930364,5,1,""
1001,1,126,100,22,2016-06-15 10:00:00,2016-06-15 11:00:00,291.18019047633845,5,1,""
1001,1,126,100,23,2016-06-15 13:00:00,2016-06-15 14:00:00,276.6211809525215,5,1,""
1001,1,126,100,24,2016-06-15 16:00:00,2016-06-15 17:00:00,262.79012190489544,5,1,""
1001,1,126,100,25,2016-06-16 10:00:00,2016-06-16 11:00:00,249.65061580965067,5,1,""
1001,1,126,100,26,2016-06-16 13:00:00,2016-06-16 14:00:00,237.16808501916813,5,1,""
1001,1,126,100,27,2016-06-16 16:00:00,2016-06-16 17:00:00,225.30968076820972,5,1,""
1001,1,126,100,28,2016-06-17 10:00:00,2016-06-17 11:00:00,214.04419672979924,5,1,""
1001,1,126,100,29,2016-06-17 13:00:00,2016-06-17 14:00:00,203.34198689330927,5,1,""
1001,1,126,100,30,2016-06-17 16:00:00,2016-06-17 17:00:00,193.1748875486438,5,1,""
1001,1,126,100,31,2016-06-20 10:00:00,2016-06-20 11:00:00,183.5161431712116,5,1,""
1001,1,126,100,32,2016-06-20 13:00:00,2016-06-20 14:00:00,174.34033601265102,5,1,""
1001,1,126,100,33,2016-06-20 16:00:00,2016-06-20 17:00:00,165.34033601265102,5,1,""
1001,1,126,100,34,2016-06-21 10:00:00,2016-06-21 11:00:00,156.34033601265102,5,1,""
1001,1,126,100,35,2016-06-21 13:00:00,2016-06-21 14:00:00,147.34033601265102,5,1,""
1001,1,126,100,36,2016-06-21 16:00:00,2016-06-21 17:00:00,138.34033601265102,5,1,""
1001,1,126,100,37,2016-06-22 10:00:00,2016-06-22 11:00:00,129.34033601265102,5,1,""
1001,1,126,100,38,2016-06-22 13:00:00,2016-06-22 14:00:00,120.34033601265102,5,1,""
1001,1,126,100,39,2016-06-22 16:00:00,2016-06-22 17:00:00,111.34033601265102,5,1,""
1001,1,126,100,40,2016-06-23 10:00:00,2016-06-23 11:00:00,102.34033601265102,5,1,""
1001,1,126,100,41,2016-06-23 13:00:00,2016-06-23 14:00:00,93.34033601265102,5,1,""
1001,1,126,100,42,2016-06-23 16:00:00,2016-06-23 17:00:00,84.34033601265102,5,1,""
1001,1,126,100,43,2016-06-24 10:00:00,2016-06-24 11:00:00,75.34033601265102,5,1,""
1001,1,126,100,44,2016-06-24 13:00:00,2016-06-24 14:00:00,66.34033601265102,5,1,""
1001,1,126,100,45,2016-06-24 16:00:00,2016-06-24 17:00:00,57.34033601265102,5,1,""
1001,1,126,100,46,2016-06-27 10:00:00,2016-06-27 11:00:00,48.34033601265102,5,1,""
1001,1,126,100,47,2016-06-27 13:00:00,2016-06-27 14:00:00,39.34033601265102,5,1,""
1001,1,126,100,48,2016-06-27 16:00:00,2016-06-27 17:00:00,30.340336012651022,5,1,""
1001,1,126,100,49,2016-06-28 10:00:00,2016-06-28 11:00:00,21.340336012651022,5,1,""
1001,1,126,100,50,2016-06-28 13:00:00,2016-06-28 14:00:00,12.340336012651022,5,1,""
1001,1,126,100,51,2016-06-28 16:00:00,2016-06-28 17:00:00,3.340336012651022,5,1,""
1001,1,126,100,52,2016-06-29 10:00:00,2016-06-29 11:00:00,0.0,5,1,86422558704
1001,2,114,90,1,2016-09-13 10:00:00,2016-09-13 14:00:00,855.0,5,1,""
1001,2,114,90,2,2016-09-14 10:00:00,2016-09-14 12:00:00,812.25,5,1,""
1001,2,114,90,3,2016-09-14 15:00:00,2016-09-14 17:00:00,771.6375,5,1,""
1001,2,114,90,4,2016-09-15 10:00:00,2016-09-15 12:00:00,733.0556250000001,5,1,""
1001,2,114,90,5,2016-09-15 15:00:00,2016-09-15 17:00:00,696.4028437500001,5,1,""
1001,2,114,90,6,2016-09-16 10:00:00,2016-09-16 12:00:00,661.5827015625001,5,1,""
1001,2,114,90,7,2016-09-16 15:00:00,2016-09-16 17:00:00,628.5035664843751,5,1,""
1001,2,114,90,8,2016-09-19 10:00:00,2016-09-19 12:00:00,597.0783881601564,5,1,""
1001,2,114,90,9,2016-09-19 15:00:00,2016-09-19 17:00:00,567.2244687521485,5,1,""
1001,2,114,90,10,2016-09-20 10:00:00,2016-09-20 12:00:00,538.863245314541,5,1,""
1001,2,114,90,11,2016-09-20 15:00:00,2016-09-20 17:00:00,511.920083048814,5,1,""
1001,2,114,90,12,2016-09-21 10:00:00,2016-09-21 12:00:00,486.3240788963733,5,1,""
1001,2,114,90,13,2016-09-21 15:00:00,2016-09-21 17:00:00,462.00787495155464,5,1,""
1001,2,114,90,14,2016-09-22 10:00:00,2016-09-22 12:00:00,438.9074812039769,5,1,""
1001,2,114,90,15,2016-09-22 15:00:00,2016-09-22 17:00:00,416.96210714377804,5,1,""
1001,2,114,90,16,2016-09-23 10:00:00,2016-09-23 12:00:00,396.11400178658914,5,1,""
1001,2,114,90,17,2016-09-23 15:00:00,2016-09-23 17:00:00,376.3083016972597,5,1,""
1001,2,114,90,18,2016-09-26 10:00:00,2016-09-26 12:00:00,357.4928866123967,5,1,""
1001,2,114,90,19,2016-09-26 15:00:00,2016-09-26 17:00:00,339.6182422817769,5,1,""
1001,2,114,90,20,2016-09-27 10:00:00,2016-09-27 11:00:00,322.63733016768805,5,1,""
1001,2,114,90,21,2016-09-27 13:00:00,2016-09-27 14:00:00,306.50546365930364,5,1,""
1001,2,114,90,22,2016-09-27 16:00:00,2016-09-27 17:00:00,291.18019047633845,5,1,""
1001,2,114,90,23,2016-09-28 10:00:00,2016-09-28 11:00:00,276.6211809525215,5,1,""
1001,2,114,90,24,2016-09-28 13:00:00,2016-09-28 14:00:00,262.79012190489544,5,1,""
1001,2,114,90,25,2016-09-28 16:00:00,2016-09-28 17:00:00,249.65061580965067,5,1,""
1001,2,114,90,26,2016-09-29 10:00:00,2016-09-29 11:00:00,237.16808501916813,5,1,""
1001,2,114,90,27,2016-09-29 13:00:00,2016-09-29 14:00:00,225.30968076820972,5,1,""
1001,2,114,90,28,2016-09-29 16:00:00,2016-09-29 17:00:00,214.04419672979924,5,1,""
1001,2,114,90,29,2016-09-30 10:00:00,2016-09-30 11:00:00,203.34198689330927,5,1,""
1001,2,114,90,30,2016-09-30 13:00:00,2016-09-30 14:00:00,193.1748875486438,5,1,""
1001,2,114,90,31,2016-09-30 16:00:00,2016-09-30 17:00:00,183.5161431712116,5,1,""
1001,2,114,90,32,2016-10-03 10:00:00,2016-10-03 11:00:00,174.34033601265102,5,1,""
1001,2,114,90,33,2016-10-03 13:00:00,2016-10-03 14:00:00,165.34033601265102,5,1,""
1001,2,114,90,34,2016-10-03 16:00:00,2016-10-03 17:00:00,156.34033601265102,5,1,""
1001,2,114,90,35,2016-10-04 10:00:00,2016-10-04 11:00:00,147.34033601265102,5,1,""
1001,2,114,90,36,2016-10-04 13:00:00,2016-10-04 14:00:00,138.34033601265102,5,1,""
1001,2,114,90,37,2016-10-04 16:00:00,2016-10-04 17:00:00,129.34033601265102,5,1,""
1001,2,114,90,38,2016-10-05 10:00:00,2016-10-05 11:00:00,120.34033601265102,5,1,""
1001,2,114,90,39,2016-10-05 13:00:00,2016-10-05 14:00:00,111.34033601265102,5,1,""
1001,2,114,90,40,2016-10-05 16:00:00,2016-10-05 17:00:00,102.34033601265102,5,1,""
1001,2,114,90,41,2016-10-06 10:00:00,2016-10-06 11:00:00,93.34033601265102,5,1,""
1001,2,114,90,42,2016-10-06 13:00:00,2016-10-06 14:00:00,84.34033601265102,5,1,""
1001,2,114,90,43,2016-10-06 16:00:00,2016-10-06 17:00:00,75.34033601265102,5,1,""
1001,2,114,90,44,2016-10-07 10:00:00,2016-10-07 11:00:00,66.34033601265102,5,1,""
1001,2,114,90,45,2016-10-07 13:00:00,2016-10-07 14:00:00,57.34033601265102,5,1,""
1001,2,114,90,46,2016-10-07 16:00:00,2016-10-07 17:00:00,48.34033601265102,5,1,""
1001,2,114,90,47,2016-10-11 10:00:00,2016-10-11 11:00:00,39.34033601265102,5,1,""
1001,2,114,90,48,2016-10-11 13:00:00,2016-10-11 14:00:00,30.340336012651022,5,1,""
1001,2,114,90,49,2016-10-11 16:00:00,2016-10-11 17:00:00,21.340336012651022,5,1,""
1001,2,114,90,50,2016-10-12 10:00:00,2016-10-12 11:00:00,12.340336012651022,5,1,""
1001,2,114,90,51,2016-10-12 13:00:00,2016-10-12 14:00:00,3.340336012651022,5,1,""
1001,2,114,90,52,2016-10-12 16:00:00,2016-10-12 17:00:00,0.0,5,1,""
1001,2,114,90,53,2016-10-13 10:00:00,2016-10-13 11:00:00,0.0,5,1,54586032836
1001,3,108,80,1,2016-11-01 10:00:00,2016-11-01 14:00:00,855.0,5,1,""
1001,3,108,80,2,2016-11-02 10:00:00,2016-11-02 12:00:00,812.25,5,1,""
1001,3,108,80,3,2016-11-02 15:00:00,2016-11-02 17:00:00,771.6375,5,1,""
1001,3,108,80,4,2016-11-03 10:00:00,2016-11-03 12:00:00,733.0556250000001,5,1,""
1001,3,108,80,5,2016-11-03 15:00:00,2016-11-03 17:00:00,696.4028437500001,5,1,""
1001,3,108,80,6,2016-11-04 10:00:00,2016-11-04 12:00:00,661.5827015625001,5,1,""
1001,3,108,80,7,2016-11-04 15:00:00,2016-11-04 17:00:00,628.5035664843751,5,1,""
1001,3,108,80,8,2016-11-07 10:00:00,2016-11-07 11:00:00,597.0783881601564,5,1,""
1001,3,108,80,9,2016-11-07 13:00:00,2016-11-07 14:00:00,567.2244687521485,5,1,""
1001,3,108,80,10,2016-11-07 16:00:00,2016-11-07 17:00:00,538.863245314541,5,1,""
1001,3,108,80,11,2016-11-08 10:00:00,2016-11-08 11:00:00,511.920083048814,5,1,""
1001,3,108,80,12,2016-11-08 13:00:00,2016-11-08 14:00:00,486.3240788963733,5,1,""
1001,3,108,80,13,2016-11-08 16:00:00,2016-11-08 17:00:00,462.00787495155464,5,1,""
1001,3,108,80,14,2016-11-09 10:00:00,2016-11-09 11:00:00,438.9074812039769,5,1,""
1001,3,108,80,15,2016-11-09 13:00:00,2016-11-09 14:00:00,416.96210714377804,5,1,""
1001,3,108,80,16,2016-11-09 16:00:00,2016-11-09 17:00:00,396.11400178658914,5,1,""
1001,3,108,80,17,2016-11-10 10:00:00,2016-11-10 11:00:00,376.3083016972597,5,1,""
1001,3,108,80,18,2016-11-10 13:00:00,2016-11-10 14:00:00,357.4928866123967,5,1,""
1001,3,108,80,19,2016-11-10 16:00:00,2016-11-10 17:00:00,339.6182422817769,5,1,""
1001,3,108,80,20,2016-11-14 10:00:00,2016-11-14 11:00:00,322.63733016768805,5,1,""
1001,3,108,80,21,2016-11-14 13:00:00,2016-11-14 14:00:00,306.50546365930364,5,1,""
1001,3,108,80,22,2016-11-14 16:00:00,2016-11-14 17:00:00,291.18019047633845,5,1,""
1001,3,108,80,23,2016-11-15 10:00:00,2016-11-15 11:00:00,276.6211809525215,5,1,""
1001,3,108,80,24,2016-11-15 13:00:00,2016-11-15 14:00:00,262.79012190489544,5,1,""
1001,3,108,80,25,2016-11-15 16:00:00,2016-11-15 17:00:00,249.65061580965067,5,1,""
1001,3,108,80,26,2016-11-16 10:00:00,2016-11-16 11:00:00,237.16808501916813,5,1,""
1001,3,108,80,27,2016-11-16 13:00:00,2016-11-16 14:00:00,225.30968076820972,5,1,""
1001,3,108,80,28,2016-11-16 16:00:00,2016-11-16 17:00:00,214.04419672979924,5,1,""
1001,3,108,80,29,2016-11-17 10:00:00,2016-11-17 11:00:00,203.34198689330927,5,1,""
1001,3,108,80,30,2016-11-17 13:00:00,2016-11-17 14:00:00,193.1748875486438,5,1,""
1001,3,108,80,31,2016-11-17 16:00:00,2016-11-17 17:00:00,183.5161431712116,5,1,""
1001,3,108,80,32,2016-11-18 10:00:00,2016-11-18 11:00:00,174.34033601265102,5,1,""
1001,3,108,80,33,2016-11-18 13:00:00,2016-11-18 14:00:00,165.34033601265102,5,1,""
1001,3,108,80,34,2016-11-18 16:00:00,2016-11-18 17:00:00,156.34033601265102,5,1,""
1001,3,108,80,35,2016-11-21 10:00:00,2016-11-21 11:00:00,147.34033601265102,5,1,""
1001,3,108,80,36,2016-11-21 13:00:00,2016-11-21 14:00:00,138.34033601265102,5,1,""
1001,3,108,80,37,2016-11-21 16:00:00,2016-11-21 17:00:00,129.34033601265102,5,1,""
1001,3,108,80,38,2016-11-22 10:00:00,2016-11-22 11:00:00,120.34033601265102,5,1,""
1001,3,108,80,39,2016-11-22 13:00:00,2016-11-22 14:00:00,111.34033601265102,5,1,""
1001,3,108,80,40,2016-11-22 16:00:00,2016-11-22 17:00:00,102.34033601265102,5,1,""
1001,3,108,80,41,2016-11-28 10:00:00,2016-11-28 11:00:00,93.34033601265102,5,1,""
1001,3,108,80,42,2016-11-28 13:00:00,2016-11-28 14:00:00,84.34033601265102,5,1,""
1001,3,108,80,43,2016-11-28 16:00:00,2016-11-28 17:00:00,75.34033601265102,5,1,""
1001,3,108,80,44,2016-11-29 10:00:00,2016-11-29 11:00:00,66.34033601265102,5,1,""
1001,3,108,80,45,2016-11-29 13:30:00,2016-11-29 15:00:00,57.34033601265102,5,1,""
1001,3,108,80,46,2016-11-29 16:00:00,2016-11-29 17:00:00,48.34033601265102,5,1,""
1001,3,108,80,47,2016-11-30 10:00:00,2016-11-30 11:00:00,39.34033601265102,5,1,""
1001,3,108,80,48,2016-11-30 13:00:00,2016-11-30 14:00:00,30.340336012651022,5,1,""
1001,3,108,80,49,2016-11-30 16:00:00,2016-11-30 17:00:00,21.340336012651022,5,1,""
1001,3,108,80,50,2016-12-01 10:00:00,2016-12-01 11:00:00,12.340336012651022,5,1,""
1001,3,108,80,51,2016-12-01 13:00:00,2016-12-01 14:00:00,3.340336012651022,5,1,""
1001,3,108,80,52,2016-12-01 15:00:00,2016-12-01 15:30:00,0.0,5,1,40313164425
1001,4,84,70,1,2016-12-13 10:00:00,2016-12-13 11:00:00,855.0,5,1,""
1001,4,84,70,2,2016-12-13 16:00:00,2016-12-13 17:00:00,812.25,5,1,""
1001,4,84,70,3,2016-12-14 10:00:00,2016-12-14 11:00:00,771.6375,5,1,""
1001,4,84,70,4,2016-12-14 16:00:00,2016-12-14 17:00:00,733.0556250000001,5,1,""
1001,4,84,70,5,2016-12-15 10:00:00,2016-12-15 11:00:00,696.4028437500001,5,1,""
1001,4,84,70,6,2016-12-15 16:00:00,2016-12-15 17:00:00,661.5827015625001,5,1,""
1001,4,84,70,7,2016-12-16 10:00:00,2016-12-16 11:00:00,628.5035664843751,5,1,""
1001,4,84,70,8,2016-12-16 16:00:00,2016-12-16 17:00:00,597.0783881601564,5,1,""
1001,4,84,70,9,2016-12-19 10:00:00,2016-12-19 11:00:00,567.2244687521485,5,1,""
1001,4,84,70,10,2016-12-19 13:00:00,2016-12-19 14:00:00,538.863245314541,5,1,""
1001,4,84,70,11,2016-12-19 16:00:00,2016-12-19 17:00:00,511.920083048814,5,1,""
1001,4,84,70,12,2016-12-20 10:00:00,2016-12-20 11:00:00,486.3240788963733,5,1,""
1001,4,84,70,13,2016-12-20 13:00:00,2016-12-20 14:00:00,462.00787495155464,5,1,""
1001,4,84,70,14,2016-12-20 16:00:00,2016-12-20 17:00:00,438.9074812039769,5,1,""
1001,4,84,70,15,2016-12-21 10:00:00,2016-12-21 11:00:00,416.96210714377804,5,1,""
1001,4,84,70,16,2016-12-21 13:00:00,2016-12-21 14:00:00,396.11400178658914,5,1,""
1001,4,84,70,17,2016-12-21 16:00:00,2016-12-21 17:00:00,376.3083016972597,5,1,""
1001,4,84,70,18,2016-12-22 10:00:00,2016-12-22 11:00:00,357.4928866123967,5,1,""
1001,4,84,70,19,2016-12-22 13:00:00,2016-12-22 14:00:00,339.6182422817769,5,1,""
1001,4,84,70,20,2016-12-22 16:00:00,2016-12-22 17:00:00,322.63733016768805,5,1,""
1001,4,84,70,21,2016-12-23 10:00:00,2016-12-23 11:00:00,306.50546365930364,5,1,""
1001,4,84,70,22,2016-12-23 13:00:00,2016-12-23 14:00:00,291.18019047633845,5,1,""
1001,4,84,70,23,2017-01-03 10:00:00,2017-01-03 11:00:00,276.6211809525215,5,1,""
1001,4,84,70,24,2017-01-03 13:00:00,2017-01-03 14:00:00,262.79012190489544,5,1,""
1001,4,84,70,25,2017-01-03 16:00:00,2017-01-03 17:00:00,249.65061580965067,5,1,""
1001,4,84,70,26,2017-01-04 10:00:00,2017-01-04 11:00:00,237.16808501916813,5,1,""
1001,4,84,70,27,2017-01-04 13:00:00,2017-01-04 14:00:00,225.30968076820972,5,1,""
1001,4,84,70,28,2017-01-04 16:00:00,2017-01-04 17:00:00,214.04419672979924,5,1,""
1001,4,84,70,29,2017-01-05 10:00:00,2017-01-05 11:00:00,203.34198689330927,5,1,""
1001,4,84,70,30,2017-01-05 13:00:00,2017-01-05 14:00:00,193.1748875486438,5,1,""
1001,4,84,70,31,2017-01-05 16:00:00,2017-01-05 17:00:00,183.5161431712116,5,1,""
1001,4,84,70,32,2017-01-06 10:00:00,2017-01-06 11:00:00,174.34033601265102,5,1,""
1001,4,84,70,33,2017-01-06 13:00:00,2017-01-06 14:00:00,165.34033601265102,5,1,""
1001,4,84,70,34,2017-01-06 16:00:00,2017-01-06 17:00:00,156.34033601265102,5,1,""
1001,4,84,70,35,2017-01-09 10:00:00,2017-01-09 11:00:00,147.34033601265102,5,1,""
1001,4,84,70,36,2017-01-09 13:00:00,2017-01-09 14:00:00,138.34033601265102,5,1,""
1001,4,84,70,37,2017-01-09 16:00:00,2017-01-09 17:00:00,129.34033601265102,5,1,""
1001,4,84,70,38,2017-01-10 10:00:00,2017-01-10 11:00:00,120.34033601265102,5,1,""
1001,4,84,70,39,2017-01-10 12:00:00,2017-01-10 13:00:00,111.34033601265102,5,1,""
1001,4,84,70,40,2017-01-10 14:00:00,2017-01-10 15:00:00,102.34033601265102,5,1,""
1001,4,84,70,41,2017-01-10 16:00:00,2017-01-10 17:00:00,93.34033601265102,5,1,""
1001,4,84,70,42,2017-01-11 10:00:00,2017-01-11 11:00:00,84.34033601265102,5,1,""
1001,4,84,70,43,2017-01-11 12:00:00,2017-01-11 13:00:00,75.34033601265102,5,1,""
1001,4,84,70,44,2017-01-11 14:00:00,2017-01-11 15:00:00,66.34033601265102,5,1,""
1001,4,84,70,45,2017-01-11 16:00:00,2017-01-11 17:00:00,57.34033601265102,5,1,""
1001,4,84,70,46,2017-01-12 10:00:00,2017-01-12 11:00:00,48.34033601265102,5,1,""
1001,4,84,70,47,2017-01-12 12:00:00,2017-01-12 13:00:00,39.34033601265102,5,1,""
1001,4,84,70,48,2017-01-12 14:00:00,2017-01-12 15:00:00,30.340336012651022,5,1,""
1001,4,84,70,49,2017-01-12 16:00:00,2017-01-12 17:00:00,21.340336012651022,5,1,""
1001,4,84,70,50,2017-01-13 10:00:00,2017-01-13 11:00:00,12.340336012651022,5,1,""
1001,4,84,70,51,2017-01-13 12:00:00,2017-01-13 13:00:00,3.340336012651022,5,1,""
1001,4,84,70,52,2017-01-13 14:00:00,2017-01-13 14:30:00,0.0,5,1,""
1001,4,84,70,53,2017-01-13 15:00:00,2017-01-13 15:30:00,0.0,5,1,10054676822
